
Aspect ratio at max_mode 3: 6.000164613385855
Mean iota at 3: 0.41999630252553016
Quasisymmetry objective at max_mode 3: 0.0002308731908214546
Squared flux at max_mode 3: 0.009807367661565593
fun_coils#18 - J=1.4e-02, Jf=6.4e-03, ⟨B·n⟩=7.8e-03, C-C-Sep=0.11 Jf=6.4e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=9.7e-05, J_MSC=2.0e-04, J_ALS=1.4e-07, J_LENGTH_PENALTY=7.4e-03 Coil lengths=sum([4.8, 4.9])=9.7, curvature=[6.0, 11.8], mean squared curvature=[5.5, 6.9]
fun_coils#19 - J=1.4e-02, Jf=6.3e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.11 Jf=6.3e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=3.9e-05, J_MSC=5.1e-05, J_ALS=1.4e-07, J_LENGTH_PENALTY=7.3e-03 Coil lengths=sum([4.8, 4.9])=9.7, curvature=[7.2, 8.8], mean squared curvature=[5.4, 5.9]
fun_coils#20 - J=1.7e-02, Jf=6.0e-03, ⟨B·n⟩=7.5e-03, C-C-Sep=0.12 Jf=6.0e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.2e-03, J_MSC=3.8e-03, J_ALS=1.6e-07, J_LENGTH_PENALTY=6.2e-03 Coil lengths=sum([4.8, 4.8])=9.6, curvature=[8.3, 68.5], mean squared curvature=[6.4, 13.6]
fun_coils#21 - J=1.3e-02, Jf=6.2e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.12 Jf=6.2e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=3.9e-05, J_MSC=7.6e-05, J_ALS=1.5e-07, J_LENGTH_PENALTY=6.8e-03 Coil lengths=sum([4.8, 4.8])=9.6, curvature=[7.5, 10.3], mean squared curvature=[5.6, 6.1]
fun_coils#22 - J=1.9e+01, Jf=5.6e-03, ⟨B·n⟩=7.3e-03, C-C-Sep=0.13 Jf=5.6e-03, J_length=9.5e-07, J_CC=0.0e+00, J_CURVATURE=1.4e-01, J_MSC=1.9e+01, J_ALS=1.9e-07, J_LENGTH_PENALTY=5.5e-03 Coil lengths=sum([4.7, 4.8])=9.5, curvature=[7.6, 1735.9], mean squared curvature=[7.9, 619.1]
fun_coils#23 - J=1.2e-02, Jf=6.0e-03, ⟨B·n⟩=7.4e-03, C-C-Sep=0.12 Jf=6.0e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=4.2e-05, J_MSC=2.4e-04, J_ALS=1.6e-07, J_LENGTH_PENALTY=6.2e-03 Coil lengths=sum([4.8, 4.8])=9.6, curvature=[6.8, 15.9], mean squared curvature=[6.0, 6.9]
fun_coils#24 - J=1.2e-02, Jf=5.8e-03, ⟨B·n⟩=7.3e-03, C-C-Sep=0.12 Jf=5.8e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.7e-04, J_MSC=3.3e-04, J_ALS=1.6e-07, J_LENGTH_PENALTY=6.1e-03 Coil lengths=sum([4.8, 4.8])=9.6, curvature=[5.9, 24.3], mean squared curvature=[5.9, 7.4]
fun_coils#25 - J=1.2e-02, Jf=5.8e-03, ⟨B·n⟩=7.2e-03, C-C-Sep=0.12 Jf=5.8e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=4.5e-06, J_MSC=2.2e-05, J_ALS=1.4e-07, J_LENGTH_PENALTY=6.5e-03 Coil lengths=sum([4.8, 4.8])=9.6, curvature=[5.8, 6.8], mean squared curvature=[5.5, 5.4]
fun_coils#26 - J=1.2e-02, Jf=5.7e-03, ⟨B·n⟩=7.2e-03, C-C-Sep=0.12 Jf=5.7e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=9.1e-06, J_MSC=5.6e-05, J_ALS=1.5e-07, J_LENGTH_PENALTY=6.2e-03 Coil lengths=sum([4.8, 4.8])=9.6, curvature=[5.4, 8.0], mean squared curvature=[5.7, 5.8]
fun_coils#27 - J=5.4e+01, Jf=5.2e-03, ⟨B·n⟩=7.0e-03, C-C-Sep=0.13 Jf=5.2e-03, J_length=9.4e-07, J_CC=0.0e+00, J_CURVATURE=2.4e-01, J_MSC=5.3e+01, J_ALS=1.9e-07, J_LENGTH_PENALTY=4.6e-03 Coil lengths=sum([4.6, 4.7])=9.4, curvature=[6.3, 1726.7], mean squared curvature=[6.7, 1039.2]
