
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06415397191789753
fun_coils#30 - J=1.8e-04, Jf=1.7e-04, ⟨B·n⟩=1.5e-03, C-C-Sep=0.13 Jf=1.7e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=7.3e-07, J_MSC=6.7e-06, J_ALS=2.6e-07, J_LENGTH_PENALTY=1.3e-07 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[5.3, 5.7, 4.9, 5.1], mean squared curvature=[5.2, 5.3, 5.0, 5.2]
fun_coils#31 - J=1.7e-04, Jf=1.6e-04, ⟨B·n⟩=1.5e-03, C-C-Sep=0.13 Jf=1.6e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=4.1e-07, J_MSC=6.2e-06, J_ALS=2.6e-07, J_LENGTH_PENALTY=9.7e-08 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[4.5, 4.5, 4.6, 5.5], mean squared curvature=[5.1, 4.9, 5.0, 5.3]
fun_coils#32 - J=1.6e-04, Jf=1.6e-04, ⟨B·n⟩=1.5e-03, C-C-Sep=0.13 Jf=1.6e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-06, J_ALS=2.6e-07, J_LENGTH_PENALTY=2.8e-07 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[4.4, 4.5, 4.6, 5.0], mean squared curvature=[5.0, 4.8, 5.0, 5.2]
fun_coils#33 - J=1.6e-04, Jf=1.6e-04, ⟨B·n⟩=1.5e-03, C-C-Sep=0.13 Jf=1.6e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-06, J_ALS=2.6e-07, J_LENGTH_PENALTY=2.0e-07 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[4.4, 4.5, 4.5, 4.9], mean squared curvature=[5.0, 4.8, 5.0, 5.2]
fun_coils#34 - J=1.4e-04, Jf=1.4e-04, ⟨B·n⟩=1.4e-03, C-C-Sep=0.13 Jf=1.4e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.5e-06, J_ALS=2.6e-07, J_LENGTH_PENALTY=1.4e-07 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[4.8, 4.5, 4.5, 4.9], mean squared curvature=[5.2, 4.9, 5.1, 5.3]
fun_coils#35 - J=1.3e-04, Jf=1.3e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.14 Jf=1.3e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.8e-06, J_ALS=2.6e-07, J_LENGTH_PENALTY=2.6e-07 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[4.7, 5.0, 4.5, 5.0], mean squared curvature=[4.8, 5.2, 5.1, 5.2]
fun_coils#36 - J=1.3e-04, Jf=1.3e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.14 Jf=1.3e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=9.3e-07, J_ALS=2.6e-07, J_LENGTH_PENALTY=5.1e-07 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[4.3, 4.7, 4.4, 4.7], mean squared curvature=[4.8, 4.8, 5.1, 5.1]
fun_coils#37 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.14 Jf=1.2e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-06, J_ALS=2.6e-07, J_LENGTH_PENALTY=5.1e-07 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[4.5, 4.8, 4.4, 4.7], mean squared curvature=[4.9, 4.8, 5.1, 5.1]
fun_coils#38 - J=2.1e-04, Jf=1.0e-04, ⟨B·n⟩=1.2e-03, C-C-Sep=0.14 Jf=1.0e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-05, J_MSC=8.4e-05, J_ALS=2.6e-07, J_LENGTH_PENALTY=1.1e-06 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[9.0, 5.3, 4.6, 4.4], mean squared curvature=[6.2, 5.3, 5.1, 5.3]
fun_coils#39 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.14 Jf=1.2e-04, J_length=1.6e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-07, J_MSC=1.1e-06, J_ALS=2.6e-07, J_LENGTH_PENALTY=5.6e-07 Coil lengths=sum([4.0, 4.0, 4.0, 4.0])=16.0, curvature=[5.5, 4.9, 4.4, 4.5], mean squared curvature=[5.1, 4.9, 5.1, 5.1]
