
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06451762722667326
fun_coils#36 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-08, J_MSC=4.0e-09, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.5, 5.1], mean squared curvature=[3.3, 5.0]
fun_coils#37 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-08, J_MSC=1.0e-07, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.3, 5.1], mean squared curvature=[3.3, 5.0]
fun_coils#38 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.27 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=5.2e-09, J_MSC=3.1e-10, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.2, 5.0], mean squared curvature=[3.3, 5.0]
fun_coils#39 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-08, J_MSC=1.2e-08, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.3, 5.1], mean squared curvature=[3.3, 5.0]
fun_coils#40 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=5.9e-10, J_MSC=1.1e-08, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.4, 5.0], mean squared curvature=[3.3, 5.0]
fun_coils#41 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.2e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=6.4e-09, J_MSC=1.7e-09, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.2e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.5, 5.1], mean squared curvature=[3.3, 5.0]
fun_coils#42 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=5.8e-09, J_MSC=0.0e+00, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.5, 5.1], mean squared curvature=[3.3, 5.0]
fun_coils#43 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.27 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-09, J_MSC=0.0e+00, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.5, 5.0], mean squared curvature=[3.3, 5.0]
fun_coils#44 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.27 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=4.0e-10, J_MSC=0.0e+00, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.5, 5.0], mean squared curvature=[3.3, 5.0]
fun_coils#45 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=1.9e-08, J_MSC=0.0e+00, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.5, 5.1], mean squared curvature=[3.3, 4.9]
fun_coils#46 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=9.8e-09, J_MSC=0.0e+00, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.5, 5.1], mean squared curvature=[3.3, 4.9]
fun_coils#47 - J=1.4e-03, Jf=1.3e-03, ⟨B·n⟩=2.3e-03, C-C-Sep=0.28 Jf=1.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=4.9e-09, J_MSC=0.0e+00, J_ALS=1.6e-07, J_LENGTH_PENALTY=1.1e-04 Coil lengths=sum([5.1, 5.1])=10.2, curvature=[3.5, 5.1], mean squared curvature=[3.3, 4.9]
