
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06422646722819887
fun_coils#28 - J=4.0e-03, Jf=1.8e-03, ⟨B·n⟩=3.9e-03, C-C-Sep=0.16 Jf=1.8e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-04, J_MSC=1.1e-04, J_ALS=2.4e-07, J_LENGTH_PENALTY=1.9e-03 Coil lengths=sum([4.4, 4.3, 4.3])=13.1, curvature=[17.1, 5.3, 4.5], mean squared curvature=[6.5, 4.8, 4.5]
fun_coils#29 - J=3.9e-03, Jf=1.8e-03, ⟨B·n⟩=3.9e-03, C-C-Sep=0.16 Jf=1.8e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=4.3e-05, J_MSC=9.3e-06, J_ALS=2.4e-07, J_LENGTH_PENALTY=2.0e-03 Coil lengths=sum([4.4, 4.4, 4.3])=13.1, curvature=[12.6, 4.8, 4.6], mean squared curvature=[5.4, 4.5, 4.5]
fun_coils#30 - J=3.7e-03, Jf=1.8e-03, ⟨B·n⟩=3.9e-03, C-C-Sep=0.16 Jf=1.8e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=5.0e-05, J_MSC=2.1e-05, J_ALS=2.4e-07, J_LENGTH_PENALTY=1.9e-03 Coil lengths=sum([4.4, 4.3, 4.3])=13.1, curvature=[12.1, 6.5, 4.5], mean squared curvature=[5.6, 5.1, 4.6]
fun_coils#31 - J=3.6e-03, Jf=1.7e-03, ⟨B·n⟩=3.7e-03, C-C-Sep=0.17 Jf=1.7e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-04, J_MSC=2.1e-04, J_ALS=2.3e-07, J_LENGTH_PENALTY=1.6e-03 Coil lengths=sum([4.4, 4.3, 4.3])=13.0, curvature=[9.1, 11.1, 4.4], mean squared curvature=[5.6, 7.0, 4.9]
fun_coils#32 - J=3.2e-03, Jf=1.7e-03, ⟨B·n⟩=3.7e-03, C-C-Sep=0.17 Jf=1.7e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=5.1e-05, J_MSC=1.3e-05, J_ALS=2.3e-07, J_LENGTH_PENALTY=1.5e-03 Coil lengths=sum([4.3, 4.3, 4.3])=12.9, curvature=[8.3, 9.5, 4.4], mean squared curvature=[5.1, 5.5, 4.9]
fun_coils#33 - J=3.1e-03, Jf=1.6e-03, ⟨B·n⟩=3.6e-03, C-C-Sep=0.17 Jf=1.6e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=8.8e-05, J_MSC=6.9e-05, J_ALS=2.3e-07, J_LENGTH_PENALTY=1.3e-03 Coil lengths=sum([4.3, 4.3, 4.3])=12.9, curvature=[10.9, 9.6, 4.9], mean squared curvature=[6.0, 5.6, 5.2]
fun_coils#34 - J=2.8e-03, Jf=1.5e-03, ⟨B·n⟩=3.5e-03, C-C-Sep=0.17 Jf=1.5e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=6.5e-05, J_MSC=8.5e-05, J_ALS=2.2e-07, J_LENGTH_PENALTY=1.1e-03 Coil lengths=sum([4.3, 4.3, 4.3])=12.8, curvature=[9.5, 8.8, 6.2], mean squared curvature=[5.9, 5.7, 5.6]
fun_coils#35 - J=2.5e-03, Jf=1.5e-03, ⟨B·n⟩=3.4e-03, C-C-Sep=0.17 Jf=1.5e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=2.1e-05, J_MSC=2.9e-05, J_ALS=2.2e-07, J_LENGTH_PENALTY=9.3e-04 Coil lengths=sum([4.3, 4.2, 4.2])=12.7, curvature=[9.1, 5.8, 4.9], mean squared curvature=[5.7, 5.0, 5.2]
fun_coils#36 - J=2.2e-03, Jf=1.4e-03, ⟨B·n⟩=3.4e-03, C-C-Sep=0.17 Jf=1.4e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=3.9e-05, J_MSC=1.1e-04, J_ALS=2.2e-07, J_LENGTH_PENALTY=6.6e-04 Coil lengths=sum([4.2, 4.2, 4.2])=12.6, curvature=[12.1, 6.4, 4.9], mean squared curvature=[6.3, 5.8, 5.3]
fun_coils#37 - J=2.0e-03, Jf=1.4e-03, ⟨B·n⟩=3.3e-03, C-C-Sep=0.17 Jf=1.4e-03, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=5.3e-06, J_MSC=5.6e-06, J_ALS=2.1e-07, J_LENGTH_PENALTY=6.6e-04 Coil lengths=sum([4.2, 4.2, 4.2])=12.6, curvature=[8.3, 5.2, 4.8], mean squared curvature=[4.8, 5.3, 5.1]
