
Aspect ratio at max_mode 3: 5.999999836943246
Mean iota at 3: 0.41999659049473215
Quasisymmetry objective at max_mode 3: 2.167484344763954e-05
Squared flux at max_mode 3: 0.06422646722819887
fun_coils#28 - J=2.3e-04, Jf=2.2e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.12 Jf=2.2e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=6.4e-07, J_MSC=3.5e-06, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.8])=14.4, curvature=[4.0, 5.5, 4.9], mean squared curvature=[4.8, 5.1, 5.2]
fun_coils#29 - J=2.2e-04, Jf=2.2e-04, ⟨B·n⟩=1.3e-03, C-C-Sep=0.12 Jf=2.2e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-07, J_MSC=1.7e-06, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.8])=14.4, curvature=[3.7, 5.4, 4.8], mean squared curvature=[4.7, 5.1, 5.2]
fun_coils#30 - J=2.1e-04, Jf=2.0e-04, ⟨B·n⟩=1.2e-03, C-C-Sep=0.12 Jf=2.0e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=2.2e-07, J_MSC=3.7e-07, J_ALS=3.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.8, 4.8])=14.4, curvature=[3.5, 5.3, 4.7], mean squared curvature=[4.7, 5.0, 5.1]
fun_coils#31 - J=1.9e-04, Jf=1.8e-04, ⟨B·n⟩=1.2e-03, C-C-Sep=0.13 Jf=1.8e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.3e-07, J_ALS=3.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.4, curvature=[3.7, 4.9, 4.8], mean squared curvature=[4.9, 5.1, 5.1]
fun_coils#32 - J=3.2e-04, Jf=1.6e-04, ⟨B·n⟩=1.1e-03, C-C-Sep=0.13 Jf=1.6e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=4.5e-06, J_MSC=1.6e-04, J_ALS=3.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.5, curvature=[6.3, 5.9, 4.9], mean squared curvature=[6.4, 6.0, 5.3]
fun_coils#33 - J=1.8e-04, Jf=1.7e-04, ⟨B·n⟩=1.1e-03, C-C-Sep=0.13 Jf=1.7e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.7e-06, J_ALS=3.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.4, curvature=[4.1, 4.8, 4.8], mean squared curvature=[5.2, 5.0, 5.1]
fun_coils#34 - J=2.0e-04, Jf=1.6e-04, ⟨B·n⟩=1.1e-03, C-C-Sep=0.13 Jf=1.6e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=4.4e-07, J_MSC=3.7e-05, J_ALS=3.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.5, curvature=[3.9, 5.7, 5.0], mean squared curvature=[4.9, 5.8, 5.2]
fun_coils#35 - J=1.7e-04, Jf=1.7e-04, ⟨B·n⟩=1.1e-03, C-C-Sep=0.13 Jf=1.7e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.6e-06, J_ALS=3.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.4, curvature=[3.8, 4.7, 4.8], mean squared curvature=[5.0, 5.2, 5.1]
fun_coils#36 - J=1.6e-04, Jf=1.6e-04, ⟨B·n⟩=1.1e-03, C-C-Sep=0.13 Jf=1.6e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.1e-06, J_ALS=3.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.5, curvature=[3.9, 4.9, 4.9], mean squared curvature=[5.1, 5.2, 5.1]
fun_coils#37 - J=1.6e-04, Jf=1.5e-04, ⟨B·n⟩=1.1e-03, C-C-Sep=0.13 Jf=1.5e-04, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=5.6e-12, J_MSC=1.9e-07, J_ALS=3.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.9, 4.8, 4.8])=14.5, curvature=[3.9, 4.5, 5.0], mean squared curvature=[4.9, 5.0, 5.1]
