
fun_coils#28 - J=2.2e-04, Jf=8.9e-05, ⟨B·n⟩=2.1e-03, C-C-Sep=0.13 Jf=8.9e-05, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=2.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.7, 3.7])=14.7, curvature=[3.5, 4.0, 4.3, 4.4], mean squared curvature=[5.7, 5.8, 5.8, 5.8]
fun_coils#29 - J=2.3e-04, Jf=7.7e-05, ⟨B·n⟩=1.9e-03, C-C-Sep=0.13 Jf=7.7e-05, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.5e-04, J_ALS=2.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.7, 3.7])=14.7, curvature=[3.5, 4.0, 4.4, 4.5], mean squared curvature=[5.9, 5.9, 5.8, 5.8]
fun_coils#30 - J=2.1e-04, Jf=8.3e-05, ⟨B·n⟩=2.0e-03, C-C-Sep=0.13 Jf=8.3e-05, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=2.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.7, 3.7])=14.7, curvature=[3.5, 4.0, 4.3, 4.5], mean squared curvature=[5.8, 5.8, 5.8, 5.8]
fun_coils#31 - J=2.0e-04, Jf=7.8e-05, ⟨B·n⟩=1.9e-03, C-C-Sep=0.13 Jf=7.8e-05, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=2.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.7, 3.7])=14.7, curvature=[3.5, 4.0, 4.3, 4.5], mean squared curvature=[5.7, 5.8, 5.8, 5.8]
fun_coils#32 - J=2.0e-04, Jf=7.5e-05, ⟨B·n⟩=1.9e-03, C-C-Sep=0.13 Jf=7.5e-05, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=2.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.7, 3.7])=14.8, curvature=[3.4, 3.9, 4.3, 4.5], mean squared curvature=[5.7, 5.8, 5.8, 5.8]
fun_coils#33 - J=1.9e-04, Jf=7.2e-05, ⟨B·n⟩=1.8e-03, C-C-Sep=0.12 Jf=7.2e-05, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=2.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.7, 3.7])=14.8, curvature=[3.4, 3.9, 4.3, 4.4], mean squared curvature=[5.7, 5.8, 5.8, 5.8]
fun_coils#34 - J=1.9e-04, Jf=6.9e-05, ⟨B·n⟩=1.8e-03, C-C-Sep=0.12 Jf=6.9e-05, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=2.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.7, 3.7])=14.8, curvature=[3.3, 3.8, 4.3, 4.5], mean squared curvature=[5.7, 5.8, 5.8, 5.8]
fun_coils#35 - J=1.8e-04, Jf=6.8e-05, ⟨B·n⟩=1.7e-03, C-C-Sep=0.12 Jf=6.8e-05, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.1e-04, J_ALS=2.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.7, 3.7])=14.8, curvature=[3.4, 3.8, 4.3, 4.5], mean squared curvature=[5.7, 5.8, 5.7, 5.8]
fun_coils#36 - J=1.8e-04, Jf=6.7e-05, ⟨B·n⟩=1.7e-03, C-C-Sep=0.12 Jf=6.7e-05, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.1e-04, J_ALS=2.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.7, 3.7])=14.8, curvature=[3.4, 3.8, 4.3, 4.5], mean squared curvature=[5.7, 5.8, 5.7, 5.8]
fun_coils#37 - J=1.7e-04, Jf=6.5e-05, ⟨B·n⟩=1.7e-03, C-C-Sep=0.12 Jf=6.5e-05, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.1e-04, J_ALS=2.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 3.7, 3.7, 3.7])=14.9, curvature=[3.4, 3.8, 4.2, 4.5], mean squared curvature=[5.7, 5.8, 5.7, 5.8]
