
Aspect ratio at max_mode 3: 3.4999672887756104
Mean iota at 3: -0.22999971505212466
Quasisymmetry objective at max_mode 3: 5.3236988549950675e-05
Squared flux at max_mode 3: 0.033433560268673085
fun_coils#37 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.7e-03, C-C-Sep=0.19 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=2.4e-06, J_MSC=0.0e+00, J_ALS=5.4e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 13.7], mean squared curvature=[0.9, 5.5]
fun_coils#38 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.8e-03, C-C-Sep=0.18 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=9.2e-10, J_MSC=0.0e+00, J_ALS=5.2e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 12.0], mean squared curvature=[0.9, 5.1]
fun_coils#39 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.19 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=1.4e-05, J_MSC=0.0e+00, J_ALS=5.7e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 15.9], mean squared curvature=[0.9, 6.0]
fun_coils#40 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.7e-03, C-C-Sep=0.19 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-06, J_MSC=0.0e+00, J_ALS=5.4e-08, J_LENGTH_PENALTY=1.5e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 13.5], mean squared curvature=[0.9, 5.4]
fun_coils#41 - J=2.4e-03, Jf=2.3e-03, ⟨B·n⟩=1.2e-02, C-C-Sep=0.22 Jf=2.3e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.9e-08, J_LENGTH_PENALTY=1.0e-04 Coil lengths=sum([6.8, 3.9])=10.7, curvature=[0.9, 5.1], mean squared curvature=[0.9, 5.0]
fun_coils#42 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.5e-03, C-C-Sep=0.19 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=5.1e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 11.8], mean squared curvature=[0.9, 4.9]
fun_coils#43 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.19 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=5.6e-09, J_MSC=0.0e+00, J_ALS=5.1e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 12.1], mean squared curvature=[0.9, 4.9]
fun_coils#44 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.5e-03, C-C-Sep=0.19 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-07, J_MSC=0.0e+00, J_ALS=5.1e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 12.6], mean squared curvature=[0.9, 5.0]
fun_coils#45 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.6e-03, C-C-Sep=0.19 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=3.6e-07, J_MSC=0.0e+00, J_ALS=5.1e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 12.9], mean squared curvature=[0.9, 5.0]
fun_coils#46 - J=1.2e-03, Jf=1.1e-03, ⟨B·n⟩=7.5e-03, C-C-Sep=0.20 Jf=1.1e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=8.6e-07, J_MSC=0.0e+00, J_ALS=4.9e-08, J_LENGTH_PENALTY=1.4e-04 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 13.4], mean squared curvature=[0.9, 5.0]
